主字段,章节,等级,知识解析,拓展解析
血的生成-脏腑,中医基础理论::精气血津液神::血,1,脾胃::血液生化之[[源]]，运化的水谷精微所产营气和津液是血液主要构成成分<br>###肝肾::肾藏精生髓化血；肝藏血，[[精血同源]]；肝疏泄配合肾精化血<br>###心肺::营津上注心肺，在心气作用下变化成红色血液([[心生血]])；上注于肺脉与清气融合化血,版本::十版/十一版→脾胃、肾肝、心肺；八版/九版→脾胃、心肺、肾；人卫三版→脾胃、肝肾、心肺<br>###古文::血乃中焦之汁……奉心化赤而为血。此所受气者，泌糟粕，蒸津液，化其精微，上注于肺脉，乃化而为血。
血的运行-因素,中医基础理论::精气血津液神::血,2,气::气的推动与宁静协调；温煦与凉润平衡；固摄作用<br>###脉道::脉道[[完好无损]]与[[通畅无阻]]<br>###血液::血液清浊与黏稠状态<br>###病邪::[[阳热]]、[[阴寒]]等病邪影响,
血的运行-脏腑,中医基础理论::精气血津液神::血,1,心::主血脉，[[心气]]是血液运行动力，起主导作用<br>###肺::[[朝百脉]]，主治节辅助心脏主管全身血脉；宗气贯心脉行气血<br>###肝::主疏泄调畅气机保证血行通畅；[[肝藏血]]调节血量，防止血逸脉外<br>###脾::主[[统血]]，防止血逸,促进::心气推动、肺气宣降、肝气疏泄<br>###固摄::脾统血、肝藏血
血的功能,中医基础理论::精气血津液神::血,1,濡养::[[濡养滋润]]，表现为面色红润、肌肉丰满、皮肤毛发润泽、感觉运动灵活自如<br>###化神::血为精神活动的主要物质，[[血脉和利，精神乃居]],其他::血液可化生乳汁、经水，养育胎儿<br>###古文::血主濡之。肝受血而能视，足受血而能步，掌受血而能握，指受血而能摄。血气者，人之神，不可不谨养。
津液的概念,中医基础理论::精气血津液神::津液,1,定义::机体一切[[正常水液]]的总称，包括脏腑组织器官的内在体液及其正常分泌物<br>###来源::都来源于饮食，有赖于[[脾胃]]的运化功能而生成<br>###别称::又称[[阴津]]、[[阴液]],
津与液的区别,中医基础理论::精气血津液神::津液,1,津::质地[[清稀]]，流动性大，布散体表皮肤、肌肉、孔窍，渗入血脉；功能为[[滋润]]<br>###液::质地[[浓稠]]，流动性小，灌注骨节、脏腑、脑、髓；功能为[[濡养]],古文津::腠理发泄，汗出溱泽<br>###古文液::谷入气满，淖泽注于骨，骨属屈伸，泄泽补益脑髓，皮肤润泽
津液的生成,中医基础理论::精气血津液神::津液,1,来源::饮食水谷，通过脾胃运化及有关脏腑生成<br>###主导::以[[脾]]为主导<br>###脏腑::由[[胃]]、[[小肠]]、[[大肠]]共同完成,古文::饮入于胃，游溢精气，上输于脾，脾气散精，上归于肺，通调水道，下输膀胱，水精四布，五经并行。
津液的输布,中医基础理论::精气血津液神::津液,1,脾::脾气[[散精]]与升清，上输于肺或直接灌溉四傍<br>###肺::肺[[通调水道]]，为[[水之上源]]，宣发输布上部外周，肃降输布内部下部<br>###肾::肾气[[蒸腾气化]]，[[肾主水]]对津液输布排泄起主宰作用<br>###肝::肝主疏泄调畅气机，[[气行则津布]]<br>###三焦::[[决渎]]为水道，水道通利则津液正常输布,病理脾::脾失运化→水湿痰饮或水肿胀满<br>###病理肺::肺失通调→痰饮，甚则水泛为肿<br>###病理肝::肝失疏泄→津液停滞，痰饮水肿；痰气互结致梅核气、痰瘤、鼓胀
津液的排泄,中医基础理论::精气血津液神::津液,1,途径::[[尿液]](最主要)、[[汗液]]、呼气、粪便<br>###脏腑::肾(最重要)、肺、脾<br>###要旨::水之本在肾，水之标在肺，水之制在脾,尿::肾气蒸化下输膀胱的津液生成尿液。失常则尿少、尿闭、水肿<br>###汗::肺气宣发将津液外输体表化为汗液。失常则汗液排泄异常<br>###古文::肾者，胃之关也，关门不利，故聚水而从其类也。上下溢于皮肤，故为胕肿。
津液的功能,中医基础理论::精气血津液神::津液,1,滋润::[[滋润濡养]]各脏腑组织器官<br>###充脉::[[津液＋营气＝血液]]，滋养滑利血脉，调节血液浓度及血量([[津血同源]])<br>###阴阳::调节机体阴阳平衡<br>###排泄::排泄代谢产物<br>###载气::津液为气的载体之一,
神的概念,中医基础理论::精气血津液神::神,1,广义::人体生命活动的[[主宰]]及其外在总体表现的统称，包括形色、眼神、言谈、表情、应答、举止等<br>###狭义::指[[意识]]、[[思维]]、[[情志]]等精神活动<br>###形神::形为神之质，神为形之用；形存则神存，形亡则神灭,
神的生成,中医基础理论::精气血津液神::神,1,元神::先天之神，由先天精气所生，为生命之根本([[脑为元神之府]])<br>###物质::神的物质基础为精、气、血、津液<br>###五脏::[[五脏藏神]]：肝藏血血舍魂，脾藏营营舍意，心藏脉脉舍神，肺藏气气舍魄，肾藏精精舍志,古文::两精相搏谓之神。血气者，人之神。气和而生，津液相成，神乃自生。
神的分类,中医基础理论::精气血津液神::神,2,五神::[[神、魂、魄、意、志]]，概括感觉、意识、思维等精神活动。[[心]]统率魂魄意志，为精神活动主宰<br>###情志::[[七情]]：喜怒忧思悲恐惊；[[五志]]分属五脏(心喜、肝怒、肺忧、脾思、肾恐)<br>###思维::意→志→思→虑→智,古文::两精相搏谓之神，随神往来者谓之魂，并精而出入者谓之魄，所以任物者谓之心，心有所忆谓之意，意之所存谓之志，因志而存变谓之思，因思而远慕谓之虑，因虑而处物谓之智。
神的作用,中医基础理论::精气血津液神::神,1,主宰生命::神是生理和心理活动的主宰，其盛衰是生命力盛衰的综合体现<br>###主宰精神::统率意识、思维、情志等精神活动<br>###调节::调节[[精气血津液]]的代谢和脏腑功能,古文::得神者昌，失神者亡。<br>###要旨::形与神俱则生，形与神离则死；神是机体生命存在的根本标志
精与气的关系,中医基础理论::精气血津液神::相互关系,1,气生精::气充则精盈，气虚则精亏。治法：[[补气生精]]、补气固精<br>###精化气::精足则气旺，精亏则气衰。精亏与失精患者可兼见气虚,古文::善治精者，能使精中生气；善治气者，能使气中生精。
精血同源,中医基础理论::精气血津液神::相互关系,1,概念::精能化血，血能养精，精与血相互滋生和相互转化<br>###别称::又称[[肝肾同源]]<br>###精化血::水谷之精和肾精是血液化生的基础物质<br>###血养精::血液充养脏腑化生脏腑之精，滋养肾精,发为血之余::肾精化血荣养头发，肾精亏耗→头发枯槁脱落<br>###病理::肝血不足与肾精亏损相互影响→头晕眼花、耳聋耳鸣
津血同源,中医基础理论::精气血津液神::相互关系,1,概念::血和津液都由水谷精微化生，同具滋润濡养作用，可相互资生转化<br>###津生血::津液是血液重要组成部分，脉外津液进入脉中则[[化而为血]]<br>###血化津::脉中津液可渗出脉外化为津液<br>###血汗::津液可化为汗液排泄，故有[[血汗同源]]之说,夺汗无血::大汗剧烈吐泻→血脉空虚津枯血燥，应慎用破血逐瘀之剂或放血疗法<br>###夺血无汗::失血过多→脉外津液不足，应慎用发汗等方法<br>###古文::夺汗者无血。夺血者无汗。衄家不可发汗。亡血家不可发汗。
气血关系概述,中医基础理论::精气血津液神::相互关系,1,气为血帅::包括[[气能生血]]、[[气能行血]]、[[气能摄血]]<br>###血为气母::包括[[血能养气]]、[[血能载气]],
气能生血,中医基础理论::精气血津液神::相互关系,1,含义::气参与促进血液的生成<br>###相关::营气、脾胃之气、肾肝之气、心肺之气均参与<br>###治法::治疗[[血虚]]病证，[[配用补气药]],
气能行血,中医基础理论::精气血津液神::相互关系,1,含义::[[气行则血行]]，气的推动作用是血液运行的动力<br>###相关::[[心气]]、[[肺气]]、[[肝气]]<br>###治法::治疗血瘀、血随气逆(咳血面红目赤头痛甚则吐血)、血随气陷(脘腹坠胀便血崩漏尿血)等，常使用补气、行气、降气、升提等法,应用::治疗[[血瘀证]]，常酌配补(益)气、行(理)气药物
气能摄血,中医基础理论::精气血津液神::相互关系,1,含义::气具有统摄血液在脉中正常循行而[[不逸出脉外]]的作用<br>###脏腑::主要体现在[[脾气统血]]中<br>###病理::脾不统血/气不摄血→吐血、咳血、尿血、便血、衄血、崩漏等多种出血,治法::用[[补气法]]治疗出血，体现气能摄血([[补气摄血]]法)
血能养气与载气,中医基础理论::精气血津液神::相互关系,1,养气::血对气具有[[濡养]]作用，血虚日久往往兼有气虚，当养血与补气兼顾<br>###载气::血液是气的载体。[[气不得血，则散而无统]],气随血脱::大出血患者气无所依附→气脱病变<br>###治法::[[益气固脱]]和止血补血法<br>###古文::血为气之守。
气与津的关系,中医基础理论::精气血津液神::相互关系,1,气生津::气是津液生成的动力，[[脾胃之气]]最重要。气虚致津液不足→[[补气生津]]<br>###气行津::气推动津液输布排泄。气不行津→痰饮、水湿、水肿([[气不化水]])<br>###气摄津::气固摄津液防无故流失。气不摄津→多汗、自汗、多尿、遗尿、口角流涎等,古文::善治痰者，不治痰而治气，气顺则一身之津液，亦随气而顺矣。<br>###治则::补气行气法与利湿化痰法配合(治痰先治气、治湿兼理脾)
津与气的关系,中医基础理论::精气血津液神::相互关系,1,津生气::津液受阳气蒸腾温化化生为气([[水化气]])。津液亏虚可致气虚→津气亏虚<br>###津载气::津液是气的载体之一,气随津泄::暑热伤津，气随汗液外泄→少气懒言、体倦乏力等气虚表现<br>###气随津脱::大汗、剧烈吐泻等津液大量丢失→气随之大量外脱，可见精神萎靡、肌肤湿冷、四肢厥逆、脉微欲绝<br>###古文::吐下之余，定无完气。<br>###注意::发汗、涌吐和泻下三法应[[中病即止]]，勿使过用而生变证
精气与神的关系,中医基础理论::精气血津液神::相互关系,1,精气化神::神以精气为物质基础。精盈则[[神明]]，精亏则神疲；气充则神明，气虚则神衰。气为[[神之母]]<br>###神驭精气::脏腑功能及精气血等物质代谢都必须受神的[[调控主宰]]<br>###协调::神安则精固气畅，神荡则精失气衰,古文::积精全神。得神者昌，失神者亡。<br>###形神::形是神之宅，神乃形之主
经络的概念,中医基础理论::经络::总论,1,定义::经脉与络脉的统称<br>###功能::运行全身[[气血]]、联络脏腑形体官窍、沟通上下内外、[[感应传导信息]]的通路系统<br>###地位::是人体结构的重要组成部分,
经络系统组成-经脉,中医基础理论::经络::总论,1,十二正经::手三阴(肺、心包、心)、手三阳(大肠、三焦、小肠)、足三阴(脾、肝、肾)、足三阳(胃、胆、膀胱)，与脏腑有直接[[属络]]关系<br>###奇经八脉::督、任、冲、带、阴维、阳维、阴跷、阳跷，联络统率调节正经<br>###十二经别::十二经脉别出的经脉，概括为[[离入出合]]，又称[[六合]],正经::气血运行的主要通道，循环贯注<br>###奇经::十二经脉气血充盛有余则渗注于奇经<br>###经别::十二经脉的最大分支，加强表里两经在体内的联系
经络系统组成-络脉,中医基础理论::经络::总论,1,别络::十五别络(十二经脉＋任督各一＋[[脾之大络]])，为最大络脉，加强表里两经体表联系<br>###浮络::循行于人体[[浅表]]部位且常浮现的络脉，沟通经脉输达肌表<br>###孙络::[[最小]]的络脉，具有溢奇邪、通营卫作用,
经络系统组成-连属,中医基础理论::经络::总论,2,经筋::十二经脉之气聚散结于[[筋肉骨节]]的体系，约束骨骼屈伸关节<br>###皮部::十二经脉及其所属络脉在体表的[[分区]]，抗御外邪<br>###内属::五脏六腑，为十二经脉属络者,古文::宗筋主束骨而利机关也。
十二经脉命名,中医基础理论::经络::十二经脉概述,1,手足::手经行于[[上肢]]，起止于手；足经行于[[下肢]]，起止于足<br>###阴阳::阴经分布四肢[[内侧]]，隶属[[脏]]；阳经分布四肢[[外侧]]，隶属[[腑]]<br>###三阴三阳::太阴(前)、厥阴(中)、少阴(后)；阳明(前)、少阳(中)、太阳(后),表里::太阴与阳明、厥阴与少阳、少阴与太阳互为表里
四肢分布规律,中医基础理论::经络::十二经脉概述,1,总规律::[[阴经内侧，阳经外侧]]<br>###上肢::太阴前、厥阴中、少阴后(内)；阳明前、少阳中、太阳后(外)<br>###下肢::内踝尖上八寸以上同上肢规律；八寸以下[[厥阴在前，太阴在中]],口诀::内侧太厥少，外侧阳少太；八寸以下肝脾换
走向规律,中医基础理论::经络::十二经脉概述,1,手三阴::从[[脏]]走[[手]]<br>###手三阳::从[[手]]走[[头]]<br>###足三阳::从[[头]]走[[足]]<br>###足三阴::从[[足]]走[[腹]],口诀::手之三阴从脏走手，手之三阳从手走头，足之三阳从头走足，足之三阴从足走腹
交接规律,中医基础理论::经络::十二经脉概述,1,表里交接::相表里的阴经与阳经在[[四肢末端]]交接(如肺大肠交食指，心小肠交小指等)<br>###同名交接::同名手足阳经在[[头面部]]交接(如大肠胃交鼻翼，小肠膀胱交目内眦等)<br>###足手交接::足手阴经在[[胸中]]交接(如脾心交心中，肾心包交胸中，肝肺交肺中),
头面躯干分布规律,中医基础理论::经络::十二经脉概述,2,头面::阳明行[[额]]面，少阳行[[侧头]]，太阳行头顶头后及面颊；手少阴心经与足厥阴肝经到达[[目系]]<br>###躯干::手三阴行腋下，手三阳行肩胛部；足阳明行[[胸腹前]]，足太阳行[[背部]]，足少阳行[[体侧]]<br>###足三阴::腹胸部，内→外为肾胃脾肝,
表里关系,中医基础理论::经络::十二经脉概述,1,六对::[[肺与大肠]]、[[脾与胃]]、[[心与小肠]]、[[肾与膀胱]]、[[心包与三焦]]、[[肝与胆]],功能::表里两经在四肢末端交接，加强脏腑间的协调配合
流注次序,中医基础理论::经络::十二经脉概述,1,次序::肺→大肠→胃→脾→心→小肠→膀胱→心包→三焦→胆→肝<br>###口诀::[[肺大胃脾心小肠，膀胱包焦胆肝传]]<br>###功能::建立经络间主体联络途径、气血运行主要渠道、信息传递主流通路,
手太阴肺经,中医基础理论::经络::十二经脉循行,1,起止::起于[[中焦]](胃)，止于拇指桡侧端([[少商]]穴)<br>###联络::络[[大肠]]，属[[肺]]，循胃口，通过肺系(气管、喉咙)<br>###分支::从列缺穴分出，走向食指桡侧端(商阳穴)，交手阳明大肠经,路径::中焦→大肠→胃口→膈→肺→腋下→上肢内侧前缘→寸口→鱼际→拇指端
手阳明大肠经,中医基础理论::经络::十二经脉循行,1,起止::起于食指桡侧端([[商阳]]穴)，止于对侧鼻翼旁([[迎香]]穴)<br>###联络::络[[肺]]，属[[大肠]]；经过[[下齿]]、口、鼻<br>###分支::从缺盆上颈至面颊，入下齿中，挟口左右交叉于人中，至迎香穴交足阳明胃经,重点::入下齿中——下牙痛取大肠经
足阳明胃经,中医基础理论::经络::十二经脉循行,1,起止::起于鼻翼旁([[迎香]]穴)，止于足第二趾外侧端([[厉兑]]穴)，支脉至足大趾内侧交脾经<br>###联络::属[[胃]]，络[[脾]]；经过鼻、[[上齿]]、口唇、喉咙、耳<br>###分支::从足三里下入中趾外侧端；从冲阳穴入足大趾内侧端交足太阴脾经,路径::鼻→鼻根→目内眦→鼻外→上齿→口唇→下颌→耳前→额颅→喉咙→缺盆→乳中→脐旁→气街→大腿前缘→膝→足背→趾端<br>###重点::入上齿中——上牙痛取胃经
足太阴脾经,中医基础理论::经络::十二经脉循行,1,起止::起于足大趾内侧端([[隐白]]穴)，止于心中交手少阴心经<br>###联络::属[[脾]]，络[[胃]]，连[[舌本]]散舌下，注心中<br>###特殊::内踝尖上八寸处交出足厥阴肝经[[之前]],路径::大趾内侧→内踝前→小腿内侧正中→八寸处交出肝经前→大腿内侧前缘→腹中→脾→胃→膈→咽→舌本→舌下<br>###分支::从胃别出，上行注心中交手少阴心经
手少阴心经,中医基础理论::经络::十二经脉循行,1,起止::起于[[心中]]，止于小指桡侧端([[少冲]]穴)<br>###联络::属[[心]]，络[[小肠]]；经肺系，连[[目系]]<br>###分支::从心系挟食道上行，连于目系,路径::心中→心系→膈→小肠；心系→食道→目系；心系→肺→腋下→上肢内侧后缘→掌后锐骨→小指端<br>###重点::连目系——心经与视觉有关
手太阳小肠经,中医基础理论::经络::十二经脉循行,1,起止::起于小指尺侧端([[少泽]]穴)，止于目内眦(睛明穴)交足太阳膀胱经<br>###联络::属[[小肠]]，络[[心]]；过胃、[[咽]]、耳、目<br>###分支::从缺盆入耳中；从面颊至目眶下抵鼻至目内眦,重点::既到目外眦又到目内眦的经脉——[[唯有小肠经]]
足太阳膀胱经,中医基础理论::经络::十二经脉循行,1,起止::起于[[目内眦]](睛明穴)，止于足小趾外侧端([[至阴]]穴)<br>###联络::属[[膀胱]]，络[[肾]]，络[[脑]]<br>###路径::目内眦→额→头顶(百会)→枕骨→络脑→项部→脊柱两旁1.5寸→腰部→臀→腘窝→小腿→外踝后→小趾外侧<br>###分支::从腰部下行经臀至腘窝；从项部下行经肩胛内侧3寸线至腘窝会合,重点::进入颅腔络脑——与脑相关疾病可取膀胱经<br>###脏腑::联系脏腑为膀胱、肾、脑
足少阴肾经,中医基础理论::经络::十二经脉循行,1,起止::起于足小趾下(斜走足心[[涌泉]]穴)，注入胸中交手厥阴心包经<br>###联络::属[[肾]]，络[[膀胱]]，贯[[肝]]，入[[肺]]，络[[心]]；过喉咙、舌<br>###分支::从肾上贯肝膈入肺循喉咙夹舌根；从肺出络心注胸中,路径::足心→内踝后→足跟→小腿内侧后缘→腘窝→股内侧后缘→脊内→肾→膀胱<br>###重点::联系脏腑最多——肾、膀胱、肝、肺、心五脏
手厥阴心包经,中医基础理论::经络::十二经脉循行,1,起止::起于[[胸中]]，止于中指端([[中冲]]穴)，支脉至无名指尺侧端交三焦经<br>###联络::出属[[心包络]]，依次络上中下[[三焦]]<br>###路径::胸中→心包络→膈→三焦；胸中→胁→腋下→上肢内侧中线→肘→腕→掌中→中指端,
手少阳三焦经,中医基础理论::经络::十二经脉循行,1,起止::起于无名指尺侧端([[关冲]]穴)，止于目外眦交足少阳胆经<br>###联络::散络[[心包]]，遍属[[三焦]]；过耳、目<br>###分支::从耳后入耳中出走耳前，至目外眦后方,重点::从耳后入耳中、出走耳前——耳疾取三焦经
足少阳胆经,中医基础理论::经络::十二经脉循行,1,起止::起于[[目外眦]](瞳子髎穴)，止于足第四趾外侧端([[窍阴]]穴)，支脉至足大趾交肝经<br>###联络::属[[胆]]，络[[肝]]；过耳、目<br>###路径::目外眦→额角→耳前→耳后→额部→眉上→枕骨下(风池)→肩上(肩井)→缺盆→胁里→气街→髋关节→大腿外侧→外踝前→足背→四趾端,分支::从耳后入耳中出走耳前；从足背至足大趾交足厥阴肝经
足厥阴肝经,中医基础理论::经络::十二经脉循行,1,起止::起于足大趾爪甲后丛毛处([[大敦]]穴)，上注肺中交手太阴肺经<br>###联络::属[[肝]]，络[[胆]]，夹胃，连[[目系]]，环唇内，沿喉咙<br>###特殊::内踝尖上八寸以下行于下肢前缘，八寸以上行于中线,路径::大趾→足背→内踝→小腿(八寸以下前缘，八寸以上中线)→大腿内侧→毛中→环阴器→小腹→胃→肝→胆→膈→胁肋→喉咙→颃颡→目系→额→巅顶(与督脉会)<br>###分支::从目系下颊里环唇内；从肝别贯膈上注肺
循行归纳-目部,中医基础理论::经络::十二经脉循行,1,目内眦::[[胃经]]、小肠经、膀胱经、阴跷脉、阳跷脉<br>###目外眦::小肠经、[[三焦经]]、胆经<br>###目系::[[心经]]、[[肝经]]<br>###目眶下::任脉、三焦经、小肠经、胆经、冲脉,口诀::目内小胃膀胱(跷)；目外三小胆；目系心肝<br>###特殊::既到目内眦又到目外眦的是小肠经
循行归纳-耳口齿舌,中医基础理论::经络::十二经脉循行,1,耳::胃经、胆经、小肠经、三焦经、阳跷脉、阳维脉、膀胱经<br>###牙齿::大肠经入[[下齿]]，胃经入[[上齿]]<br>###舌::脾经连舌本散舌下，肾经夹舌根两旁<br>###口唇::胃经环绕口唇，督任冲脉环绕口唇，肝经环唇内，大肠经挟口,口诀::经耳三小胆，胃经阳跷膀胱；下齿大肠上齿胃；舌找脾和肾
循行归纳-咽喉巅顶脑,中医基础理论::经络::十二经脉循行,1,喉咙::肺经、胃经、肾经、肝经及任督冲脉、阴维脉<br>###咽::脾经、心经、小肠经及任脉、阴维脉<br>###巅顶::[[督脉]]、肝经(与督脉会于巅)、膀胱经<br>###脑::膀胱经、督脉进入颅腔[[络脑]],口诀::喉肺胃肾肝任督冲阴维；咽脾心小任阴维；巅顶督肝膀；络脑膀胱督
奇经八脉概述,中医基础理论::经络::奇经八脉,1,概念::督脉、任脉、冲脉、带脉、阴维脉、阳维脉、阴跷脉、阳跷脉的总称<br>###功能一::密切十二经脉联系<br>###功能二::调节十二经脉[[气血]]<br>###功能三::与肝、肾、脑、髓、[[女子胞]]关系密切,一源二歧::任督冲三脉同起于[[胞中]]
督脉,中医基础理论::经络::奇经八脉,1,循行::起于[[胞中]]，下出会阴，沿脊柱里面上行，至风府入颅内络脑，沿头部正中线经头顶、额、鼻、上唇至上唇系带处<br>###功能::调节[[阳经]]气血，为[[阳脉之海]]；反映脑、髓和肾的功能，主司生殖<br>###分支::从脊柱内络肾；从小腹内直上贯脐中央贯心到喉部环绕口唇到目眶下,病理::实则脊强反折，虚则头重；大人癫疾，小儿风痫<br>###应用::生殖病证多考虑督脉病变，如精冷不育
任脉,中医基础理论::经络::奇经八脉,1,循行::起于[[胞中]]，下出会阴，经阴阜，沿腹部胸部[[正中线]]上行至喉咙，环绕口唇，分行至目眶下<br>###功能::调节[[阴经]]气血，为[[阴脉之海]]；[[任主胞胎]]，与女子经孕关系密切<br>###分支::由胞中别出，与冲脉相并行于脊柱前,病理::男子为疝气，女子为带下瘕聚
冲脉,中医基础理论::经络::奇经八脉,1,循行::起于[[胞中]]，下出会阴，从气街部起与足少阴经相并，挟脐上行散布胸中，经喉环绕口唇到目眶下<br>###功能::调节十二经气血，为[[十二经脉之海]]、[[五脏六腑之海]]、[[血海]]；调节女子生殖功能<br>###分支::从少腹注肾下沿大腿内侧至足底；从内踝后入足背至大趾；从胞中向后与督脉相通,病理::气从少腹上冲胸咽，咳唾气逆里急<br>###应用::调理月经病及不孕症，多调理[[冲任]]二脉
带脉,中医基础理论::经络::奇经八脉,1,循行::起于[[季胁]]，斜向下行到带脉穴，[[绕身一周]]环行于腰腹部<br>###功能::约束[[纵行诸经]]；主司妇女[[带下]]<br>###固护::固护胎儿,病理::腹部胀满，绕脐腰脊痛，腰溶溶如坐水中，女子赤白带下；带脉虚可见流产、脏器脱垂
阴阳跷脉,中医基础理论::经络::奇经八脉,2,阴跷::起于内踝下肾经[[照海]]穴，经前阴沿腹胸至目内眦<br>###阳跷::起于外踝下膀胱经[[申脉]]穴，经下肢外侧至目内眦<br>###功能::主司[[下肢运动]]；司[[眼睑开合]]；濡养眼目；分主一身左右之阴阳,会合::阴跷阳跷交会于目内眦
阴阳维脉,中医基础理论::经络::奇经八脉,2,阴维::起于小腿内侧足三阴经交会处，沿下肢内侧上行至咽喉与[[任脉]]相会<br>###阳维::起于外踝下与足少阳胆经并行，沿下肢外侧上行至额部与[[督脉]]会合<br>###功能::阴维维系联络全身[[阴经]]；阳维维系联络全身[[阳经]],交会::阴维与足三阴交会后合于任；阳维与足三阳交会后合于督
经别循行特点,中医基础理论::经络::经别络脉经筋皮部,1,概念::从十二经脉别行分出，深入躯体深部，循行于胸腹及头部的支脉<br>###循行::概括为[[离入出合]]——从肘膝以上别出(离)→走入体腔深部(入)→浅出体表上头面(出)→阴经经别合于表里阳经经别(合)<br>###六合::每对相表里经别组成一合，共[[六对]]称为六合,分布::多分布于肘膝、脏腑、躯干、颈项及头部
经别生理功能,中医基础理论::经络::经别络脉经筋皮部,1,功能一::加强十二经脉[[表里两经]]在体内的联系<br>###功能二::加强[[体表与体内]]、四肢与躯干的向心性联系<br>###功能三::加强足三阴三阳经脉与[[心脏]]的联系<br>###功能四::加强十二经脉与[[头面部]]的联系<br>###功能五::扩大十二经脉的[[主治范围]],举例::足太阳膀胱经不经过肛门，但其经别别入于肛，故承山、承筋等可治肛门疾病
别络,中医基础理论::经络::经别络脉经筋皮部,1,组成::[[十五别络]]：十二经脉各一条＋任脉别络＋督脉别络＋脾之大络(加胃之大络为十六别络)<br>###循行::从[[肘膝关节以下]]分出，阴经别络络于阳经，阳经别络络于阴经<br>###分布::循行于四肢，或上行头面，或进入躯干，无固定属络关系,主体::别络是络脉的主体，对无数细小络脉起主导作用
别络功能与经别对比,中医基础理论::经络::经别络脉经筋皮部,1,功能一::加强表里两经在[[体表]]的联系，通达正经未到部位<br>###功能二::加强人体前后侧面联系，[[统率]]其他络脉<br>###功能三::[[渗灌气血]]以濡养全身(通过孙络浮络扩散),对比::别络从肘膝以下分出多分布体表，经别从肘膝以上分出深入体腔；别络阴经阳经相互交通，经别阴经合于阳经突出阳经统率；别络有络穴有所主病症，经别无所属穴位
经筋与皮部,中医基础理论::经络::经别络脉经筋皮部,2,经筋::十二经脉之气濡养筋肉骨节的体系，循行概括为[[结聚散络]]，起于四肢末端向心循行；功能为约束骨骼、主司关节运动<br>###皮部::十二经脉功能活动反映于体表的部位，是十二经脉及其络脉在体表的[[分区]]；位于最浅表，发挥[[御外邪]]作用,应用皮部::观察皮肤色泽形态变化有助于诊断脏腑经络病变；在皮肤施行贴敷、艾灸、梅花针等可治内脏病变<br>###古文::宗筋主束骨而利机关也。欲知皮部，以经脉为纪。
经络的生理功能,中医基础理论::经络::功能与应用,1,联系::沟通表里上下，联系脏腑器官(脏腑与外周肢节、五官九窍、脏腑之间、经脉之间)<br>###运行::通行气血，[[濡养]]脏腑组织<br>###传导::[[感应传导]]作用<br>###调节::调节机能[[平衡]],
经络学说-阐释病理,中医基础理论::经络::功能与应用,1,脏腑间::脏腑之间病变相互影响(如肝经挟胃注肺→肝病可犯胃犯肺)<br>###表里间::相为表里的脏腑在病理上常相互影响(如心火可下移小肠)<br>###脏腑与体表::脏腑与体表组织病变相互影响(如真心痛放射至上肢内侧尺侧缘→心经循行),
经络学说-指导诊治,中医基础理论::经络::功能与应用,1,诊断::经络有一定的循行部位和络属脏腑，可反映所属脏腑病证<br>###头痛辨经::前额→[[阳明经]]；两侧→[[少阳经]]；后头及项部→[[太阳经]]；巅顶→[[厥阴经]]<br>###治疗::指导针灸[[循经取穴]]；药物治疗[[药物归经]]与[[引经报使]]理论,应用::指导针刺麻醉、耳针、电针、穴位埋线、穴位结扎等治疗方法
体质的概念,中医基础理论::体质::概念,1,定义::体质是不同个体在形质、功能和心理方面的身心特征，是在[[先天禀赋]]和[[后天获得]]的基础上所形成的[[形态结构]]、[[生理功能]]、[[心理状态]]方面相对稳定的[[个体化特性]]<br>###学说::体质学说以中医理论为指导，研究体质的概念、形成、类型特征及其对疾病发生、发展、传变过程的影响，指导疾病诊断和防治,别称::又称素质、禀质、气质、形质等<br>###古文::人之生也，有刚有柔，有弱有强，有短有长，有阴有阳。
体质的特点,中医基础理论::体质::概念,1,特点::个体[[差异性]]、[[形神一体性]]、群体[[趋同性]]、[[相对稳定性]]、[[动态可变性]]、连续可测性、[[后天可调性]],要旨::相对稳定性与动态可变性并存——体质既相对固定又可调节
体质的构成与形成,中医基础理论::体质::概念,1,构成::由[[形态结构]]、[[生理功能]]和[[心理状态]]三个要素构成<br>###先天::先天因素包括父母[[禀赋]]、[[性别]]差异<br>###后天::后天因素包括年龄、膳食、生活起居、劳逸、精神情志、自然社会环境、疾病损害、药物治疗等,古文::小儿体质成而未全、全而未壮，脏腑柔弱，易虚易实，易寒易热。
体质与养生,中医基础理论::体质::应用,2,强壮::体质强壮者应加强精神调摄、锻炼身体、注意预防疾病<br>###虚弱::体质虚弱者除预防疾病外，注意饮食起居，避免情志内伤，[[静神动形结合]]<br>###食养::偏阳者进食[[宜凉忌热]]；偏寒者进食[[宜温忌寒]]；阴虚宜甘润生津忌辛辣燥烈；阳虚宜温补忌生冷寒凉,情志::气郁质注意情感疏导；阳虚质助其树立信心
体质与病因-易感性,中医基础理论::体质::应用,1,总述::体质因素决定着个体对某些病邪的[[易感性]]与[[耐受性]]，即[[同气相求]]<br>###偏阳质::易感受[[风、暑、热]]之邪<br>###偏阴质::易感受[[寒、湿]]之邪<br>###小儿::[[稚阴稚阳]]之体，常易感外邪或因饮食所伤发病,古文::易风为病者，表气素虚；易寒为病者，阳气素弱；易热为病者，阴气素衰；易伤食者，脾胃必亏；易劳伤者，中气必损。
